목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15091133,교육부,교육부,교육부_유초중등_연도별 취학률,"해당 데이터는 교육통계서비스에서 제공하고 있으며, 유초중등통계 중 연도별 취학률 관련 내용을 제공하고 있습니다. 산출식 및 통계설명을 통해 보다 상세한 내용을 확인할 수 있습니다.",1245,교육 - 유아및초·중등교육,"유치원,초중등,취학"
15076816,교육부,교육부,교육부_교과서연구재단  교과서 정보 API,"한국교과서연구재단 소장정보, 국립중앙도서관 소장정보, 공공도서관 종합목록 등을 활용하여 다양한 애플리케이션을 보다 쉽게
개발할 수 있도록 API제공",3108,교육 - 유아및초·중등교육,"교과서연구재단,교과서,교과서 API"
15037486,교육부,교육부,교육부_유치원 급식 및 통학차량 현황,"시도별, 설립유형별  유치원 급식 및 통학차량 현황 정보 (2019년도 공시 기준)",2620,교육 - 유아및초·중등교육,"유치원,급식,통학차량"
15037487,교육부,교육부,교육부_유치원 환경위생 및 안전 등 현황,유치원 환경위생 및 안전 현황,2296,교육 - 유아및초·중등교육,"유치원,환경,위생"
15052734,교육부,교육부,교육부_대학원 학과 계열별 입학자수 통계,2019년도 대학원 학과계열별 입학자수 통계 제공,9547,교육 - 유아및초·중등교육,"교육통계,학교,학교 정보"
15052733,교육부,교육부,교육부_유초중등교육기관 주소록 및 연락처,"시도 학교유형별 학교연락처 학교주소 등 학교기본현황 데이터, 2018년도 조사 데이터",12026,교육 - 유아및초·중등교육,"교육통계,학교,주소록 및 연락처"
15068565,교육부,교육부,교육부_시도별 초등학교 컴퓨터보유현황,"교육통계_시도별  초등학교 컴퓨터보유현황, 2019년도 조사기준",2161,교육 - 유아및초·중등교육,"초등학교,컴퓨터보유현황,교육통계서비스"
15068575,교육부,교육부,교육부_시도별 중학교 컴퓨터보유현황,"시도별 중학교 컴퓨터보유현황 교육통계조사 , 2019년도 조사기준",2003,교육 - 유아및초·중등교육,"중학교,컴퓨터보유현황,교육통계서비스"
15068581,교육부,교육부,교육부_시도별 일반고등학교 컴퓨터보유현황,"시도별 고등학교 컴퓨터보유현황 교육통계조사, 2019년도 조사기준",1986,교육 - 유아및초·중등교육,"고등학교,컴퓨터보유현황,교육통계서비스"
15068036,교육부,교육부,교육부_6차 교육과정별 초등학교 교과서정보,국내에서 발행된 6차 교육과정의 초중등 학교급별 교과서 정보 제공,4118,교육 - 유아및초·중등교육,"교과서정보,6차교육과정,초등학교"
15068040,교육부,교육부,교육부_6차 교육과정별 중학교 교과서정보,국내에서 발행된 6차 교육과정의 초중등 학교급별 교과서 정보 제공,3002,교육 - 유아및초·중등교육,"교과서정보,중학교,6차교육과정"
