목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15005090,교육청,대구광역시교육청 대구광역시립수성도서관,대구광역시교육청 대구광역시립수성도서관_신착도서 목록,"대구광역시립수성도서관에서 최근 소장하게 된 도서의 정보로  서명, 저자, 발행자, 발행년, 청구기호의 정보를 제공합니다.",7363,교육 - 평생·직업교육,"신착자료,자료검색,소장자료"
3056770,교육청,대구광역시교육청 대구광역시유아교육진흥원,대구광역시교육청 대구광역시유아교육진흥원_소장도서 목록,대구광역시교육청 대구광역시유아교육진흥원 소장도서 목록 제공 서비스(기준일은 2023년 12월 1일 입니다.),2134,교육 - 평생·직업교육,"소장도서,책놀이터,유아도서"
15036960,교육청,대전광역시교육청,대전광역시교육청 공익법인현황,"대전광역시교육청에 등록된 비영리(공익)법인 및 비영리 민간단체에 대한 법인 성격, 목적, 법인명, 설립일, 주무관청 등의 자료 입니다.",2266,교육 - 평생·직업교육,"비영리,재단,장학"
3034615,교육청,부산광역시교육청,부산광역시교육청_평생교육시설 현황,"평생교육시설 현황에 대한 데이터로 2023. 4. 1.기준 평생교육시설명, 종류, 주소 등의 항목을 제공합니다.",2740,교육 - 평생·직업교육,"평생교육통계,평생통계,평생교육"
15117895,교육청,부산광역시교육청 부산광역시립구포도서관,부산광역시교육청 부산광역시립구포도서관_평생학습프로그램,"부산광역시립구포도서관 평생학습과에서 제공하는 2023년 하반기  평생학습 프로그램 소개(프로그램명, 모집인원, 운영장소,강사명)",72,교육 - 평생·직업교육,"프로그램,평생교육,평생학습"
15103356,교육청,부산광역시교육청 부산광역시립구포도서관,부산광역시교육청_부산광역시립구포도서관_하반기 평생프로그램,"부산광역시립구포도서관 평생학습과에서 제공하는 2022년 하반기  평생학습 프로그램 소개(프로그램명, 모집인원, 운영장소,강사명)",376,교육 - 평생·직업교육,"프로그램,평생교육,하반기"
15095766,교육청,부산광역시교육청 부산광역시립구포도서관,부산광역시교육청_부산광역시립구포도서관_평생학습강좌,"부산광역시립구포도서관  평생학습강좌에  대한  데이터로  강좌명,  강사명,  운영기간,  운영횟수,  운영대상에 대한 항목을 제공합니다.",2266,교육 - 평생·직업교육,"평생교육,강좌,구포"
15095747,교육청,부산광역시교육청 부산광역시립명장도서관,부산광역시교육청 부산광역시립명장도서관_평생학습강좌,"부산광역시립명장도서관의 2022년 하반가 평생학습강좌를 안내하는 데이터입니다. 성인 강좌 5개, 유아어린이 강좌 3개로 운영됩니다.",771,교육 - 평생·직업교육,"평생교육,강좌명,수강료"
15124645,교육청,부산광역시교육청 부산광역시립사하도서관,부산광역시교육청 부산광역시립사하도서관_평생학습강좌안내,"2023년 사하도서관에서 운영하는 하반기 평생학습 프로그램에 대한 데이터로 강좌명, 접수일, 시작일, 종료일, 신청대상 등의 정보를 제공합니다.",48,교육 - 평생·직업교육,"강좌,평생교육,교육안내"
15106472,교육청,부산광역시교육청 부산광역시립사하도서관,부산광역시교육청 부산광역시립사하도서관_평생학습강좌,"2022년 사하도서관에서 운영하는 하반기 평생학습 프로그램에 대한 데이터로  강좌명, 접수일, 시작일, 종료일, 신청대상 등의 정보를 제공합니다.",316,교육 - 평생·직업교육,"강좌,교육,평생교육"
