목록키,기관구분,기관명,목록유형,목록명,목록설명,조회수,분류체계,기관코드,국가중점여부,표준데이터여부,목록 등록일,목록 수정일,목록 URL,다운로드_활용건수,키워드
15119024,교육부,교육부,FILE,교육부_하이점프_직업계고 기초학력향상_기본영어2,"목적 : 직업기초능력 중 의사소통(영어)능력 함양을 위한 교수학습 자료<br/>구성 : Everyday Lives, Mechanic Basics, Commercial Activity, Agricultural World, How to Offer Help & Communicate 의 5개 주제 20개 단원(60차시)",60,교육 - 교육일반,1342000,N,N,2023-08-17,2023-08-23,https://www.data.go.kr/data/15119024/fileData.do,3,"기초능력,교수학습,영어기본"
15119025,교육부,교육부,FILE,교육부_하이점프_직업계고 기초학력향상_기본영어3,"목적 : 직업기초능력 의사소통(영어)능력 함양을 위한 교수학습 자료<br/>구성 : Everyday Lives & Hobbies, Mechanic BasicsⅡ, Commercial Activity의 3개 주제 12개 단원(36차시)",81,교육 - 교육일반,1342000,N,N,2023-08-17,2023-08-23,https://www.data.go.kr/data/15119025/fileData.do,2,"기초능력,영어기초,교수학습"
15119026,교육부,교육부,FILE,교육부_하이점프_직업계고 기초학력향상_영어보정학습,"인사나누기, 소개하기, 일상생활, 의견교환하기, 짧은글 읽기, 친숙한소재글 읽기, 실용문읽기, 친숙한소재 글쓰기, 실용문 쓰기 등의 영어 보정학습 자료영상 및 교사용 지도서",83,교육 - 교육일반,1342000,N,N,2023-08-17,2023-08-23,https://www.data.go.kr/data/15119026/fileData.do,4,"기초능력,읽기영역,말하기듣기"
15119578,교육부,교육부,FILE,교육부_학생건강정보센터_연도별 학생 법정 감염병 현황,"교육부 학생건강정책과에서 제작한 「연도별 학생 법정 감염병 현황(2017~2022)」입니다.<br/>※ 본 자료는 나이스시스템(NEIS)를 통해 보고된 자료를 바탕으로 작성된 자료로, 학생측의 신고를 받아 학교가 교육청에 보고한 현황입니다.<br/>   ""감염병예방법""에 근거한 국가감염병 감시체계를 통해 집계한 현황과 차이가 있을 수 있습니다.",333,교육 - 교육일반,1342000,N,N,2023-08-22,2023-08-22,https://www.data.go.kr/data/15119578/fileData.do,62,"감염병,학생건강,통계"
15118994,교육부,교육부,FILE,교육부_에듀넷티클리어_교육 주제별 사진 영상 자료,"한국교육학술정보원 운영, 교과학습, 교육정책자료, 수업 및 연구자료, 커뮤니티 제공<br/>인문사회교육, 정보교육, 진로교육, 창의인성교육, 보건안전교육, 예체능교육, 통일안보교육, 환경교육 주제별 사진영상자료 제공<br/>",86,교육 - 교육일반,1342000,N,N,2023-08-17,2023-08-21,https://www.data.go.kr/data/15118994/fileData.do,6,"SW교육,교사,수업활동"
15118998,교육부,교육부,FILE,교육부_대학알리미_대학주요정보_학생_교원_연구_재정_교육여건,"대학알리미는 대학의 주요 정보를 제공하는 웹사이트로 국민들이 보다 쉽고 편리하게 대학정보를 이용할 수 있도록 하는데 그 목적을 두고 있습니다. 누구나 대학알리미를 통해 대학의 기본 정보를 확인·활용할 수 있습니다. <br/>공시년도, 학교명, 본분교명, 학교종류, 학교유형, 설립유형, 지역명, 입학정원(학부), 졸업생수(학부), 전임교원수(학부+대학원), 재학생(학부), 신입생경쟁률(학부), 신입생 충원율(학부), 왹국인 학생수(학부), 전임교원1인당 학생수, 전임교원확보율, 전임교원 강의담당비율, 학생1인당 연간 장학금(학부), 연평균 등록금(학부), 학생1인당 교육부, 기숙사 수용율, 학생1인당 도서 자료수<br/>",290,교육 - 고등교육,1342000,N,N,2023-08-17,2023-08-21,https://www.data.go.kr/data/15118998/fileData.do,74,"충원율,취업률,장학금"
15119000,교육부,교육부,FILE,교육부_대학알리미_특성화학과 분야 정보,"대학알리미(대학정보공시)의 특성화 학과정보를 제공.<br/>학과명, 대학명, 폐과, 학과 특성화명, 특성화 구분, 특성화 분류, 학교종류, 지역, 설립유형, 주야구분, 표준분류계열(대, 중, 소) 등<br/><br/>특성화분류탭 클릭시(건설교통, 공공서비스, 기계, 기초과학(인문,사회,자연과학), 농림수산식품, 문화, 예술, 체육, 보건의료, 사업지원, 생명과학, 전기,전자, 정보통신, 특화교육시스템, 화공, 환경)로 구분하여 검색 가능.",210,교육 - 고등교육,1342000,N,N,2023-08-17,2023-08-21,https://www.data.go.kr/data/15119000/fileData.do,22,"학과,대학,특성화명"
15119002,교육부,교육부,FILE,교육부_대학알리미_키워드별 학과정보,"학교정보공시 항목 중 학과 관련 키워드로 검색하여 학과정보를 제공.<br/>학과명, 학교명, 구분, 학교종류, 학교지역, 소재지, 설립구분, 주야구분, 학과특성, 상태, 표준분류계열(대,중,소)",216,교육 - 고등교육,1342000,N,N,2023-08-17,2023-08-21,https://www.data.go.kr/data/15119002/fileData.do,48,"학과,키워드,표준분류계열"
15119005,교육부,교육부,FILE,교육부_대학알리미_표준분류체계별 학과 정보,"- 표준분류체계에 의거한 고등교육기관의 교육편제단위 현황 및 이력관리 정보<br/>- 표준분류체계는 대학설립운영규정에 명시된 5대 계열(인문사회,자연과학,공학,예체능,의학)을 준용한 교육편제단위 분류체계로 대분류-중분류-소분류 구성<br/>- 체계적인 교육편제단위 조사를 통해 교육수요자에게 신뢰성 있는 고등교육정보 제공<br/>인문사회, 자연과학, 공학, 예체능, 의학 등 표준분류체계 별 학과 정보(대학명, 구분, 학교종류, 학교지역, 소재지, 설립유형 등) 제공",1286,교육 - 고등교육,1342000,N,N,2023-08-17,2023-08-21,https://www.data.go.kr/data/15119005/fileData.do,603,"인문사회,자연과학,공학"
15119010,교육부,교육부,FILE,교육부_교과용도서_수정_보완_통계정보,"학교급 또는 국검인정별, 교과군(교과서, 지도서, 디지털교과서), 교과군(국어, 영어, 수학, 건설, 정보, 농림수산해양, 미용, 기계 등)으로 검색가능<br/>학교급, 교과군, 내용수정(용어, 개념, 설명, 삽화, 사진, 기타), 정정사유(국가사회적요구사항, 자체수정, 민원요청, 의견제안) 데이터의 통계자료 제공<br/>한국교과서연구재단에서 제공",189,교육 - 유아및초·중등교육,1342000,N,N,2023-08-17,2023-08-21,https://www.data.go.kr/data/15119010/fileData.do,15,"수정보완 년도,도서구분,교과군"
